Ref. no.,MedConTaCCt_ref,no_of_artifacts,Archaeological excavation,Interpretation of the context,Site,GEO1: town/city/site,GEOCoordinates1,GEOCoordinates2,GEO2_province_region,GEO3_Country,Mining_District,Mine/outcrop,OutcropCoordinates1,OutcropCoordinates2,Main ore,Material,Type_of_object,Typology,Stamps/seals/marks,Period,Chron_production_1,Chron_production_2,Chron_arch_context_1,Chron_arch_context_2,XRF,XRD,RX-EDS,ID-TIMS,TIMS,ICP-MS,LA-ICP-MS,MC-ICP-MS,206Pb/204Pb,SD/ERROR,207Pb/204Pb,SD/ERROR1,208Pb/204Pb,SD/ERROR2,207Pb/206Pb,SD/ERROR3,208Pb/206Pb,SD/ERROR4,tmod,mu12,kappa12,Lab. Analysis,Reference archaeometric publication,Observations
PA25531,LEAD00001,1,Ribera de Cabanes,,Ribera de Cabanes,Ribera de Cabanes,40.15326,0.16078,Castello,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Ingot,discoidal plane-convex A1,,Iberian,,,-700,-200,,,,,,,,X,18.7339,0.0009,15.696,0.0008,39.0492,0.0022,0.83784,0.0001,2.08441,0.0022,,,,,Aguilella & Montero 2018: 123-130,
"RT25, L126, S22",LEAD00002,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.3047,,15.6434,,38.4114,,0.8546,,2.0984,,321,9.17,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S35",LEAD00003,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.2252,,15.6295,,38.3303,,0.8576,,2.1031,,354,9.08,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S39",LEAD00004,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.334,,15.6484,,38.4481,,0.8535,,2.0971,,308,9.2,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S5",LEAD00005,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.393,,15.6526,,38.5314,,0.851,,2.0949,,272,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L101, S16",LEAD00006,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Mixed leads,,,,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,X,X,,,,,X,18.422,,15.6547,,38.5719,,0.8498,,2.0938,,255,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L115, S55",LEAD00007,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Iberian,,,-300,-200,X,X,X,,,,,X,18.3485,,15.6769,,38.538,,0.8544,,2.1003,,351,9.23,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L115, S56",LEAD00008,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Litharge,Archaeological litharge,,,Iberian,,,-300,-200,X,X,X,,,,,X,18.3397,,15.6675,,38.5164,,0.8543,,2.1002,,340,9.22,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L2, S75rtm",LEAD00009,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1919,,15.6336,,38.2366,,0.8594,,2.1018,,386,9.04,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S74rtm",LEAD00010,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2029,,15.6258,,38.2531,,0.8584,,2.1015,,363,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S86rtm",LEAD00011,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1831,,15.6277,,38.2189,,0.8595,,2.1019,,382,9.03,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L3, S85rtm",LEAD00012,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.391,,15.6619,,38.5569,,0.8516,,2.0965,,291,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S7",LEAD00013,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2027,,15.6306,,38.2461,,0.8587,,2.1011,,372,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S18",LEAD00014,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3331,,15.6536,,38.4505,,0.8538,,2.0973,,319,9.21,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S19",LEAD00015,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3698,,15.6591,,38.5121,,0.8524,,2.0965,,302,9.25,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L31, S83rtm",LEAD00016,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2017,,15.6322,,38.2503,,0.8588,,2.1015,,376,9.05,0.84,Ibercron,Anguilano 2012: 1-311,
"RT25, L114, S84",LEAD00017,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3918,,15.6522,,38.5282,,0.851,,2.0949,,272,9.27,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52,S79rtm",LEAD00018,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4314,,15.6541,,38.5757,,0.8493,,2.0929,,247,9.31,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25, L55, S82rtm",LEAD00019,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4108,,15.6539,,38.5552,,0.8503,,2.0942,,262,9.29,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S1",LEAD00020,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4226,,15.6576,,38.5712,,0.8499,,2.0937,,260,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S2",LEAD00021,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.4193,,15.6646,,38.587,,0.8504,,2.0949,,276,9.3,0.83,Ibercron,Anguilano 2012: 1-311,
"RT25,L52, S3",LEAD00022,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.386,,15.6596,,38.5382,,0.8517,,2.0961,,291,9.27,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25,L52, S4",LEAD00023,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.3762,,15.655,,38.5119,,0.8519,,2.0957,,289,9.25,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25,L52, S17",LEAD00024,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.434,,15.6567,,38.5868,,0.8493,,2.0932,,250,9.32,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25, L72, S72rtm",LEAD00025,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.2714,,15.639,,38.3467,,0.8559,,2.0987,,337,9.13,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
"RT25, L87, S77rtm",LEAD00026,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,X,X,,,,,X,18.1925,,15.6301,,38.2328,,0.8591,,2.1016,,379,9.04,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
ï»¿RT24S2,LEAD00027,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,X,X,,,,,X,18.264,,15.6372,,38.3216,,0.8562,,2.0982,,339,9.12,0.83,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
RT24S3,LEAD00028,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,X,X,,,,,X,18.183,,15.6277,,38.2153,,0.8595,,2.1017,,382,9.03,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
RT24S4,LEAD00029,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,X,X,,,,,X,18.1831,,15.6266,,38.2069,,0.8594,,2.1012,,380,9.03,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
RT24S5,LEAD00030,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,X,X,,,,,X,18.189,,15.63,,38.2165,,0.8593,,2.1011,,382,9.04,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
RT24S6,LEAD00031,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,X,X,,,,,X,18.1883,,15.6269,,38.2243,,0.8592,,2.1016,,376,9.04,0.84,ï»¿Laboratorio de EspectometrÃ­a de Masas LIMS de Verbania,Anguilano 2012: 1-311,
1Pb RT,LEAD00032,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Ingot,elongated,,Roman,,,-200,200,X,X,X,,,,,X,18.1878,,15.6257,,38.2035,,0.8591,,2.1005,,374,9.03,0.84,Ibercron,Anguilano 2012: 1-311,
2Pb RT,LEAD00033,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Ingot,plate shape,,Roman,,,-200,200,X,X,X,,,,,X,18.7196,,15.6798,,38.989,,0.8376,,2.0828,,81,9.64,0.82,Ibercron,Anguilano 2012: 1-311,
3Pb RT,LEAD00034,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,,,,,,Lead,Ingot,plate shape,,Roman,,,-200,200,X,X,X,,,,,X,18.3356,,15.6704,,38.5167,,0.8546,,2.1006,,348,9.21,0.84,Ibercron,Anguilano 2012: 1-311,
ï»¿THA-REP4,LEAD00035,1,Tharsis,,Tharsis,Alosno,37.6011,-7.1206,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman,,,-200,200,X,X,X,,,,,X,18.4053,,15.6682,,38.6019,,0.8513,,2.0973,,293,9.29,0.83,"Isotrace, Univ. Oxford (United Kingdom)",Anguilano 2012: 1-311,
THA-REP1,LEAD00036,1,Tharsis,,Tharsis,Alosno,37.6011,-7.1206,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman,,,-200,200,X,X,X,,,,,X,18.2852,,15.6593,,38.4382,,0.8564,,2.1021,,365,9.16,0.84,"Isotrace, Univ. Oxford (United Kingdom)",Anguilano 2012: 1-311,
THA-IMP10,LEAD00037,1,Tharsis,,Tharsis,Alosno,37.6011,-7.1206,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman,,,-200,200,X,X,X,,,,,X,18.217,,15.6501,,38.3544,,0.8591,,2.1054,,398,9.08,0.84,"Isotrace, Univ. Oxford (United Kingdom)",Anguilano 2012: 1-311,
THA-IMP9,LEAD00038,1,Tharsis,,Tharsis,Alosno,37.6011,-7.1206,Huelva,Spain,,,,,Galena,Lead,Undefined object,,,Roman,,,-200,200,X,X,X,,,,,X,18.1874,,15.6422,,38.2987,,0.8601,,2.1058,,405,9.04,0.84,"Isotrace, Univ. Oxford (United Kingdom)",Anguilano 2012: 1-311,
RT24n7,LEAD00039,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.21391,,15.63055,,38.19623,,0.85817,,2.09709,,364,9.07,0.83,Ibercron,Anguilano et al. 2010: 269-276,
RT24n8,LEAD00040,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.21662,,15.63386,,38.20491,,0.85822,,2.09726,,368,9.07,0.84,Ibercron,Anguilano et al. 2010: 269-276,
RT24n9,LEAD00041,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.214,,15.62911,,38.19035,,0.85808,,2.09676,,361,9.06,0.83,Ibercron,Anguilano et al. 2010: 269-276,
RT39,LEAD00042,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.33401,,15.64837,,38.44808,,0.85352,,2.09709,,308,9.2,0.83,,Anguilano et al. 2010: 269-276,
RT35,LEAD00043,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.22525,,15.62946,,38.33035,,0.85757,,2.10315,,354,9.08,0.84,,Anguilano et al. 2010: 269-276,
RT16,LEAD00044,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.42201,,15.65466,,38.57189,,0.84978,,2.09379,,255,9.3,0.83,,Anguilano et al. 2010: 269-276,
RT5,LEAD00045,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.39296,,15.65263,,38.53143,,0.85101,,2.0949,,272,9.27,0.83,,Anguilano et al. 2010: 269-276,
RT22,LEAD00046,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.30472,,15.6434,,38.41141,,0.85461,,2.09844,,321,9.17,0.83,,Anguilano et al. 2010: 269-276,
RT55,LEAD00047,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Phoenician,,,-200,-100,X,,X,,,,,X,18.34853,,15.67693,,38.53799,,0.8544,,2.10033,,351,9.23,0.84,,Anguilano et al. 2010: 269-276,
RT56,LEAD00048,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Iberian,,,-300,-200,X,,X,,,,,X,18.33973,,15.66749,,38.51638,,0.85429,,2.10016,,340,9.22,0.84,,Anguilano et al. 2010: 269-276,
RT84,LEAD00049,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.39184,,15.65223,,38.52823,,0.85104,,2.09485,,272,9.27,0.83,,Anguilano et al. 2010: 269-276,
RT75,LEAD00050,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.19192,,15.63365,,38.23658,,0.85937,,2.10184,,386,9.04,0.84,,Anguilano et al. 2010: 269-276,
RT86,LEAD00051,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.18313,,15.62768,,38.21895,,0.85946,,2.10189,,382,9.03,0.84,,Anguilano et al. 2010: 269-276,
RT85,LEAD00052,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.39101,,15.66193,,38.5569,,0.85161,,2.09651,,292,9.27,0.83,,Anguilano et al. 2010: 269-276,
RT74,LEAD00053,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.20287,,15.62584,,38.25314,,0.85843,,2.10149,,363,9.05,0.84,,Anguilano et al. 2010: 269-276,
RT83,LEAD00054,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Undefined object,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.20167,,15.63222,,38.25028,,0.85883,,2.10147,,376,9.05,0.84,,Anguilano et al. 2010: 269-276,
RT79,LEAD00055,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Plate ,,,Roman,,,-200,200,X,,X,,,,,X,18.4314,,15.65408,,38.57574,,0.84932,,2.09294,,247,9.31,0.83,,Anguilano et al. 2010: 269-276,
RT82,LEAD00056,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Plate ,,,Roman,,,-200,200,X,,X,,,,,X,18.4184,,15.6539,,38.55523,,0.85025,,2.09416,,256,9.3,0.83,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT72,LEAD00057,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.27138,,15.63903,,38.34675,,0.85593,,2.09873,,337,9.13,0.83,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT77,LEAD00058,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Republic,,,-200,0,X,,X,,,,,X,18.19254,,15.63008,,38.23283,,0.85915,,2.10157,,379,9.04,0.84,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT24n2,LEAD00059,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,,X,,,,,X,18.26398,,15.63717,,38.32161,,0.85618,,2.09821,,339,9.12,0.83,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT24n3,LEAD00060,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,,X,,,,,X,18.18298,,15.62771,,38.21534,,0.85947,,2.10171,,382,9.03,0.84,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT24n4,LEAD00061,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,,X,,,,,X,18.1831,,15.62665,,38.20685,,0.85941,,2.10123,,380,9.03,0.84,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT24n5,LEAD00062,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,,X,,,,,X,18.18897,,15.63001,,38.21654,,0.85931,,2.10108,,382,9.04,0.84,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
RT24n6,LEAD00063,1,Corta Lago,,Corta Lago,Rio Tinto,37.68973,-6.59376,Huelva,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Slag / Melting waste,,,Roman Empire,,,0,200,X,,X,,,,,X,18.18828,,15.62691,,38.22427,,0.85917,,2.10159,,376,9.04,0.84,"Geology Department, Royal Holloway, University of London.",Anguilano et al. 2010: 269-276,
PL12-1063-7   ,LEAD00064,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.73,,15.691,,39.034,,0.83773,,2.084,,96,9.65,0.82,,Baron et al. 2017: 147-169,
PL12-1063-6   ,LEAD00065,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.734,,15.694,,39.04,,0.8378,,2.0839,,99,9.66,0.82,,Baron et al. 2017: 147-169,
PL12-1063-5   ,LEAD00066,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.728,,15.69,,39.027,,0.83773,,2.0839,,95,9.65,0.82,,Baron et al. 2017: 147-169,
PL12-1063-4   ,LEAD00067,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.736,,15.696,,39.043,,0.8378,,2.0839,,101,9.66,0.82,,Baron et al. 2017: 147-169,
PL12-1063-3   ,LEAD00068,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.73,,15.692,,39.034,,0.8378,,2.084,,98,9.65,0.82,,Baron et al. 2017: 147-169,
PL13-1146-199,LEAD00069,1,Presentacion legal,workshop,Presentacion legal,Cabezo del Pino,37.60059,-1.05659,Murcia,Spain,Cartagena-Mazarron,La Union,37.62185,-0.88675,,Lead,Slag / Melting waste,,,Roman Republic,-200,0,,,,,,,X,,,X,18.729,,15.692,,39.036,,0.83787,,2.0842,,98,9.65,0.82,,Baron et al. 2017: 147-169,
D-121/1,LEAD00070,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Weight,longish,,Roman Empire,,,-30,500,,,,,,,,X,18.412,,15.657,,38.497,,0.8504,,2.091,,,,,,Bode et al. 2009: 177-194,
D-121/2,LEAD00071,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Weight,,,Roman Empire,,,-30,500,,,,,,,,X,18.288,,15.625,,38.287,,0.8544,,2.093,,,,,,Bode et al. 2009: 177-194,
D-121/3,LEAD00072,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Sling bullet,,,Roman Empire,,,-30,500,,,,,,,,X,18.691,,15.697,,38.017,,0.8398,,2.087,,,,,,Bode et al. 2009: 177-194,
D-121/4,LEAD00073,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Weight,,,Roman Empire,,,-30,500,,,,,,,,X,18.18,,15.614,,38.15,,0.8588,,2.098,,,,,,Bode et al. 2009: 177-194,
D-121/5,LEAD00074,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Spindle whorl,,,Roman Empire,,,-30,500,,,,,,,,X,18.333,,15.619,,38.318,,0.8519,,2.09,,,,,,Bode et al. 2009: 177-194,
D-121/6,LEAD00075,1,,,Kalkriese,Bramsche,52.41422,8.09865,Osnabruck,Germany,Eiffel / Sauerland / Bergische land,,,,,Lead,Weight,loom,,Roman Empire,,,-30,500,,,,,,,,X,18.356,,15.615,,38.331,,0.8507,,2.088,,,,,,Bode et al. 2009: 177-194,
